chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2018-01-03,1,Perfect,Ed Sheeran,1,1,17
2018-01-03,2,Rockstar,Post Malone Featuring 21 Savage,2,1,14
2018-01-03,3,Havana,Camila Cabello Featuring Young Thug,3,2,19
2018-01-03,4,Gucci Gang,Lil Pump,4,3,15
2018-01-03,5,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,10,5,15
2018-01-03,6,Thunder,Imagine Dragons,5,4,34
2018-01-03,7,MotorSport,"Migos, Nicki Minaj & Cardi B",6,6,8
2018-01-03,8,Too Good At Goodbyes,Sam Smith,7,4,15
2018-01-03,9,All I Want For Christmas Is You,Mariah Carey,9,9,23
2018-01-03,10,Bad At Love,Halsey,8,8,16
2018-01-03,11,River,Eminem Featuring Ed Sheeran,-,11,1
2018-01-03,12,Bodak Yellow (Money Moves),Cardi B,11,1,25
2018-01-03,13,New Rules,Dua Lipa,14,13,21
2018-01-03,14,Gummo,6ix9ine,12,12,6
2018-01-03,15,Him & I,G-Eazy & Halsey,26,15,3
2018-01-03,16,I Fall Apart,Post Malone,19,16,13
2018-01-03,17,What Lovers Do,Maroon 5 Featuring SZA,13,9,17
2018-01-03,18,Let You Down,NF,16,16,10
2018-01-03,19,I Get The Bag,Gucci Mane Featuring Migos,15,11,18
2018-01-03,20,Feel It Still,Portugal. The Man,17,4,27
2018-01-03,21,Sorry Not Sorry,Demi Lovato,18,6,24
2018-01-03,22,Love.,Kendrick Lamar Featuring Zacari,25,18,26
2018-01-03,23,Wolves,Selena Gomez X Marshmello,21,20,9
2018-01-03,24,Shape Of You,Ed Sheeran,23,1,50
2018-01-03,25,Mi Gente,J Balvin & Willy William Featuring Beyonce,20,3,25
2018-01-03,26,Plain Jane,A$AP Ferg Featuring Nicki Minaj,46,26,13
2018-01-03,27,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,24,24,17
2018-01-03,28,Meant To Be,Bebe Rexha & Florida Georgia Line,28,28,9
2018-01-03,29,The Weekend,SZA,39,29,21
2018-01-03,30,Rockin' Around The Christmas Tree,Brenda Lee,34,14,21
2018-01-03,31,How Long,Charlie Puth,29,26,11
2018-01-03,32,It's The Most Wonderful Time Of The Year,Andy Williams,35,32,4
2018-01-03,33,Young Dumb & Broke,Khalid,32,22,23
2018-01-03,34,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,22,3,34
2018-01-03,35,Bank Account,21 Savage,27,12,24
2018-01-03,36,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,31,1,49
2018-01-03,37,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",38,37,11
2018-01-03,38,A Holly Jolly Christmas,Burl Ives,41,38,4
2018-01-03,39,Silence,Marshmello Featuring Khalid,30,30,19
2018-01-03,40,Believer,Imagine Dragons,33,4,46
2018-01-03,41,Sky Walker,Miguel Featuring Travis Scott,36,35,13
2018-01-03,42,End Game,Taylor Swift Featuring Ed Sheeran & Future,49,39,5
2018-01-03,43,Last Christmas,Wham!,44,41,4
2018-01-03,44,Attention,Charlie Puth,42,5,35
2018-01-03,45,Ric Flair Drip,Offset & Metro Boomin,45,44,8
2018-01-03,46,Lemon,N*E*R*D & Rihanna,58,46,7
2018-01-03,47,Unforgettable,French Montana Featuring Swae Lee,40,3,37
2018-01-03,48,That's What I Like,Bruno Mars,43,1,49
2018-01-03,49,Feliz Navidad,Jose Feliciano,-,44,2
2018-01-03,50,Jingle Bell Rock,Bobby Helms,-,29,20
